Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Psychotherapy & pharmacotherapy,PTSD,Other (controlled setting),Parallel,N,1,0,1,0,Structured Clinical Interview,MINI and CAPS,MINI for DSM-5 and CAPS-5 ≥35,1,0,0,0,1,0,0,1,1,Low,0,Excluded: suicidal ideation,Excluded: primary psychotic disorder and MDD with psychotic features,Mixed,"Combat-related; Other (""developmental trauma"", ""multiple trauma"")",Low
Collaborative care,PTSD,Mixed,Parallel,N,0,0,0,1,Structured Clinical Interview,CIDI,CIDI,1,0,0,0,0,0,1,0,1,Some Concerns,1,Excluded: prominent current suicidal ideation,Excluded: history of psychosis,Mixed,"combat-related, rape/sexual assault, accidents, natural or manmade disaster, community/school violence",Medium
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS according to DSM-IV,1,0,1,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, child sexual abuse, child physical abuse, intimate partner violence, rape/sexual assault, accidents, illness/medical procedure, other (homicide, death/suicide of a loved one)",High
Nonpharmacologic cognitive,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""psychotic… disorder""",Combat-related,"combat-related, other (not specified)",High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS and PCL,DSM-5 criteria on CAPS-5 and PCL-5 ≥45,1,0,0,0,1,0,0,0,1,High,1,"Excluded: ""suicidal risk that precludes safe participation defined as clinical impression that the subject is at significant risk for suicide""","Excluded: ""lifetime history of schizophrenia, schizoaffective, other psychotic disorder…""",Mixed,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 ≥ 25 and CGI-S ≥ 4,0,0,0,0,0,0,0,1,1,High,1,"Excluded: ""suicide attempt within the last 3 months or at imminent risk of suicide""","Excluded: ""DSM-5 diagnosis of...schizophrenia, or schizoaffective disorder, or currently exhibiting psychotic symptoms associated with depression""",Mixed,Combat-related; Child sexual abuse;  Rape/sexual assault; Community/school violence; Other (not specified),High
Pharmacotherapy,PTSD,Outpatient clinic,Crossover 1st period,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS and DSM,DSM-5 and CAPS-5 ≥ 25,1,1,1,0,1,0,0,1,1,High,1,"Excluded: ""high risk for suicide based on the C-SSRS""","Excluded: ""current or past serious mental illness (e.g., personality disorder, psychotic disorder)"" and ""self reported a positive family history (first-degree relative) of psychotic or bipolar disorder""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Other (internet),Parallel,N,0,0,1,1,Structured Clinical Interview,MINI,MINI version 5,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""experiencing frequent suicidal ideation (indicated by a score of 3 on item 9 of the Patient Health Questionnaires (PHQ-9)""","Excluded: ""diagnosed with a psychotic disorder or were currently taking antipsychotic medication""",Mixed,Combat-related; Child physical abuse; Child sexual abuse; Rape/sexual assault; Illness/medical procedure; Other (severe human suffering; witnessed violent death; unexpected loss of others; harm/injury to others; other stressor),Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,0,Clinical diagnosis,DSM,Clinician diagnosed using DSM-III-R criteria ≥6 PTSD symptoms,1,1,1,1,0,0,0,0,1,Some Concerns,1,Excluded: severe depression (suicidal),Excluded: psychotic disorders,Other,occupational events,High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Self report,PCL,PCL-5 >33,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Medium
Other mixed,PTSD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,MINI,MINI Plus 5.0.0 (Dutch version) for DSM-IV,1,0,0,0,1,0,0,0,1,High,1,"Excluded: ""actively suicidal (defined as “high risk” according to the Mini International Neuropsychiatric Interview Plus - Dutch Version 5.0.0)""","Excluded: ""met criteria for a current bipolar disorder, current psychotic episode… or scored a total score of ≥40 on the Dissociative Experiences Scale [DES]""",Mixed,"Child sexual abuse; Other (""war related"")",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS and SCID,SCID-IV for DSM-IV and CAPS ≥45,1,0,0,0,1,0,0,0,1,Some Concerns,1,"Excluded: active suicidal ideation, based on clinical report or a score ≥ 6 on suicide question no. 10 of MADRS",Excluded: lifetime history of schizophrenic or schizoaffective disorders,Combat-related,"combat-related, other (not specified)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Clinical diagnosis,DSM,PTSD-Interview for DSM-III-R,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""depression with suicida lideation, judged severe enough to warrant concern for the participant's life""","Excluded: ""current psychosis""",Combat-related,"combat-related, other (not specified)",Low
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""serious current suicidal ideation""","Excluded: ""current psychotic episode""",Combat-related,"combat-related, other (not specified)",High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and MINI,MINI and CAPS for DSM-IV >40,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: actively suicidal,Excluded: actively psychotic,Mixed,"combat-related, other (noncombat unspecified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID-5-CV,1,1,0,0,0,0,1,0,1,High,1,"Excluded: ""current imminent risk of suicide""","Excluded: ""psychotic-spectrum disorders""",Mixed,Terrorism/political violence/forced displacement; Other (violent death of a relative; experienced or witnessed explosions; witnessed murder of nonfamily members; other life-threatening events),Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV,1,1,0,1,0,0,0,0,1,High,1,"Excluded: ""current depression with psychotic symptoms or suicidal ideation"" and ""current, clinically significant self-injurious behaviors""","Excluded: ""current depression with psychotic symptoms…"" and ""a lifetime diagnosis of a psychotic or organic mental disorder""",Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, community/school violence",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS,CAPS ≥50,1,0,1,1,0,0,0,0,1,Low,1,"Excluded: ""active suicidal ideation""",Excluded: schizophrenia,Mixed,"Combat-related; Other (""military trauma"" not further specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Self report,PCL,PCL-5 ≥34,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""active suicidal or homicidal ideations""","Excluded: ""a psychotic disorder""",Mixed,"Combat-related; Other (""sexual traumas""; not specified)",Low
Other study class,PTSD,Other (internet),Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,CIDI,CIDI for DSM-IV,1,1,0,0,0,0,1,0,1,High,1,"Excluded: ""risk of suicide,"" assessed with CIDI","Excluded: ""psychotic symptoms,"" assessed with CIDI",Mixed,Rape/sexual assault; Other (sexual intercourse before age 18 with someone 5 years older; proximity to death); Other (NR),Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,Primary Care PTSD Screen,Primary Care PTSD Screen score ≥3,1,0,0,0,1,1,0,1,1,Low,1,"Excluded: ""prominent current suicidality as indicated by the presence of intent, a plan, and means""","Excluded: ""current psychotic symptoms""",MST,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5 criteria,0,0,0,1,1,1,0,0,1,Low,1,"Excluded: ""suicidal...ideation severe enough to warrant immediate attention""",Excluded: psychotic disorders,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,1,0,0,0,0,0,0,1,High,1,Excluded: current suicidal risk or practiced self-mutilation,Excluded: schizophrenia or other psychoses,Rape/sexual assault,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-2 for DSM-IV,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Accidents,"combat-related, other (not specified)",High
Other mixed,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,DSM-5 criteria on CAPS-5,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""psychotic disorders history before stroke""",Illness/medical procedure,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and SCID,CAPS for DSM-IV ≥45 and SCID-1 for DSM-IV,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""acute suicidal or homicidal ideation""","Excluded: ""active diagnosis of psychotic...disorders""",Mixed,"MST, combat-related, community/school violence",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Structured Clinical Interview,MINI,MINI according to DSM-IV,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: lifetime psychosis or schizophrenia,Mixed,"rape/sexual assault, intimate partner violence, accidents, illness/medical procedure, other (exposure to war)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,SI-PTSD,SI-PTSD for DSM-IV,0,0,0,0,1,0,0,0,1,Some Concerns,1,Excluded: serious suicidal or violence risk,Excluded: psychotic disorder,Mixed,"MST, child physical abuse, rape/sexual assault, intimate partner violence, community/school violence, other (military harassment, ""nurse in Vietnam"", ""Persian Gulf"" [non-combat trauma])",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS and SCID,SCID and CAPS-5 for DSM-V ≥50,1,1,1,0,0,0,1,0,1,Low,1,Excluded: attempted suicide in the prior year,"Excluded: lifetime schizophrenia, or psychosis requiring antipsychotic medication",Mixed,"combat-related, other (physical or sexual abuse)",Low
Pharmacotherapy,PTSD,Residential inpatient,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV-TR criteria,1,1,0,0,0,0,1,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Medium
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS-2,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""other active DSM-IV-TR axis I or major axis II disorder except depression""",Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and ITQ,"DSM-5 and ""symptoms causing clinically significant distress"" on CAPS-5 and International Trauma Questionnaire",0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""suicidality within the previous month""",Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS,CAPS for DSM-IV ≥50,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: actively suicidal,Excluded: psychosis,Mixed,"rape/sexual assault, combat-related, natural or manmade disasters, accidents, terrorism/political violence/forced displacement, community/school violence",High
Psychotherapy & pharmacotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,1,0,1,1,Clinical diagnosis,DSM,DSM-IV-TR,1,0,0,0,0,1,0,0,1,Some Concerns,1,Excluded: current suicidal ideation with intent and/or plan,Excluded: history of psychosis,Mixed,"Combat-related; Child sexual abuse; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (imprisonment, torture, other)",Medium
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,1,0,0,0,0,0,1,High,1,"Excluded: active suicidality, parasuicidality",Excluded: psychosis,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Structured Clinical Interview,CAPS,CAPS-5 ≥28 and DSM-5 criteria,0,0,0,0,1,0,0,1,1,Low,1,"Excluded: ""serious imminent suicide risk""",Excluded: past or current primary psychotic disorder or MDD with psychotic features,Mixed,"Combat-related; Other (""veteran status""; ""developmental trauma events"")",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,0,Structured Clinical Interview,SCID,SCID-I P/R for DSM-IV-TR,1,0,0,0,0,0,0,0,1,High,1,Excluded: elevated suicide risk,Excluded: psychosis,Accidents,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Residential inpatient,Parallel,N,0,0,0,0,Structured Clinical Interview,PSS-I,PSS-I for DSM-IV (Norwegian version),0,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""current suicidal risk""","Excluded: ""current psychosis""",Mixed,"combat-related, rape/sexual assault, accidents, community/school violence",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,PSS-I,PSS-I for DSM-5,1,0,0,1,0,1,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""acute psychotic symptoms""",Mixed,Combat-related; Other (not specified),Low
Pharmacotherapy,PTSD,Outpatient clinic,Crossover all periods,Item-level,0,0,1,1,Self report,PCL and DSM,Clinician diagnosed using DSM-IV criteria and PCL-C ≥40,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, accidents, community/school violence",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level and item-level,0,0,1,0,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-IV criteria and CAPS-SX17 ≥60,1,0,0,0,1,0,1,0,1,High,1,Excluded: high risk of suicide,"Excluded: history of bipolar disorder, schizophrenia, or other psychotic disorder",Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,current PTSD diagnosis,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""suicidal attempts or hospitalizations"" within 6 months prior to treatment","Excluded: ""psychotic symptoms or suffering from a psychotic-related disorder""",Mixed,"MST, rape/sexual assault, child sexual abuse, intimate partner violence",Low
Other mixed,PTSD,Outpatient clinic,Crossover 1st period,Cluster-level,0,0,1,0,Clinical diagnosis,DSM,ICD-11,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"Other (""childhood abuse"" not further specified); Other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,1,0,0,0,0,0,0,1,Low,1,Excluded: acute suicidality,Excluded: lifetime psychotic disorder according to DSM-IV,Mixed,"rape/sexual assault, accidents, natural or manmade disasters, community/school violence, other (war-related)",Low
CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,1,1,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,Item-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,0,0,1,0,0,1,1,0,1,High,1,Excluded: patients with acute suicidality,Excluded: patients with unmanaged psychosis or mania,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, illness/medical procedure",High
Psychotherapy,PTSD,Mixed,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,SCID and PCL,SCID-5 diagnosis and PCL-5 score ≥33,1,1,0,0,0,0,1,0,1,High,1,"Excluded: ""acute suicidality""","Excluded: ""current or previous psychotic disorder""",Mixed,Rape/sexual assault; Intimate partner violence; Other (not specified),Low
Collaborative care,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Self report,PCL,PCL-C,1,0,0,0,0,1,1,1,1,Some Concerns,1,"Excluded: ""active suicidal ideation in the prior 2 months (Mini International Neuropsychiatric Interview [MINI]-Plus Suicidality Module score >9)""







Allowed: PHQ-9 symptom, ""thoughts of self harm at least “several days” in the past 2 weeks""",Excluded: psychosis,Mixed,"combat-related, other (not specified)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,1,1,1,Structured Clinical Interview,CAPS and MINI,CAPS ≥50 and MINI,0,0,0,0,0,0,0,0,1,High,1,"Excluded: level of self-harm risk that requires immediate, focused intervention",Excluded: unmanaged psychosis,Mixed,"combat-related, other (not specified)",Low
Other study class,PTSD,Other (home),Parallel,N,0,0,0,1,Structured Clinical Interview,PSS-I,PSS-I,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""active suicidality as determined by interview utilizing the Scale for Suicidal Ideation""",Excluded: psychosis,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, intimate partner violence",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,DSM-5,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""recent suicide attempt or persistent severe self-harm""",Excluded: psychosis,Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Primary care clinic,Parallel,N,0,0,1,1,Self report,PC-PTSD,PC-PTSD for DSM-V,1,0,0,0,1,0,0,0,1,High,1,Excluded: current indications of high risk for suicide or homicide,Excluded: active psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,1,0,0,0,Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV and CAPS for DSM-IV ≥50,1,0,0,0,1,0,1,0,1,Some Concerns,1,"Excluded: ""active suicidal ideation""","Excluded: ""psychotic disorders"" or ""schizotypal, or schizoid personality disorder""",Mixed,"rape/sexual assault, other (child abuse unspecified, interpersonal, not specified)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV ≥40,0,0,0,0,0,0,0,0,1,Low,1,Excluded: high risk for suicidal behavior or with a history of two or more suicide gestures or attempts in the preceding year,Excluded: current diagnosis of schizophrenia or psychotic disorder,Accidents,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,0,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5 and CAPS-5 ≥28,1,0,0,0,0,0,0,1,1,Low,1,"Excluded: ""imminent suicidal...risk requiring immediate intervention""",Excluded: lifetime or current diagnosis of schizophrenia or other psychotic disorder,Mixed,"Combat-related; Child sexual abuse; Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Other (imprisonment, torture, other not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-IV criteria and CAPS ≥50,1,0,1,0,0,0,0,0,1,Low,1,"Excluded: suicidal ideation needing clinical intervention, or history of suicide attempt in the past 10 years",Excluded: DSM-IV diagnoses of current or past schizophrenia or other psychotic disorders (except psychosis NOS from sensory hallucinations related to trauma),Mixed,"combat-related, child physical abuse, child sexual abuse, child other abuse",Low
CIH,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Self report,PCL,PCL-M for DSM-IV ≥50,1,1,0,1,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS (Spanish version) diagnostic criteria and CAPS (Spanish version) ≥45,0,0,0,0,0,0,0,0,1,High,1,Excluded: serious suicide risk,Excluded: schizophrenia or psychotic disorder,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and SCID,CAPS-1 and SCID-I for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,"Excluded: ""active suicidal intent""
Allowed: ""suicidal ideation without intent""",Excluded: current or past DSM-IV psychotic disorder,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Other (therapist travelled to meet participant),Parallel,N,0,0,1,0,Structured Clinical Interview,PSS-I,PSS-I for DSM-5,1,0,0,1,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""acute psychotic symptoms""",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Medium
